iter	R2	RMSE
399	0.932998159	0.888824925
400	0.9330600278	0.8884144647
401	0.9331035851	0.8881253756
402	0.9331528027	0.8877986056
403	0.9331872986	0.8875695057
404	0.9332312511	0.8872775159
405	0.9332649724	0.8870534291
406	0.9333093094	0.8867587126
407	0.9333391581	0.886560248
408	0.9333884542	0.886232379
409	0.933413938	0.8860628383
410	0.9334554049	0.8857868942
411	0.9334854502	0.8855869026
412	0.933519629	0.8853593418
413	0.9335589893	0.8850972109
414	0.9335885058	0.884900586
415	0.9336117227	0.884745896
416	0.9336578958	0.8844381716
417	0.9337127328	0.8840725668
418	0.933743616	0.8838665985
419	0.9337721988	0.883675929
420	0.933795043	0.8835235114
421	0.9338313822	0.8832809996
422	0.9338624496	0.8830736167
423	0.9339007471	0.8828179042
424	0.9339362597	0.8825807203
425	0.9339711657	0.8823475257
426	0.9339952868	0.8821863451
427	0.9340382378	0.881899267
428	0.9340735649	0.8816630768
429	0.9341261698	0.8813112521
430	0.9341525464	0.8811347915
431	0.934190333	0.8808819353
432	0.934215994	0.8807101784
433	0.934242394	0.8805334398
434	0.9342748587	0.8803160523
435	0.9343099618	0.8800809373
436	0.934335302	0.8799111737
437	0.9343797967	0.8796130072
438	0.9344031219	0.8794566607
439	0.9344342921	0.8792476866
440	0.9344784431	0.8789516001
441	0.9344997336	0.878808786
442	0.9345362326	0.878563901
443	0.9345664722	0.8783609601
444	0.9345852105	0.8782351824
445	0.9346241241	0.8779739237
446	0.9346461876	0.8778257591
447	0.9346829612	0.8775787546
448	0.9347243445	0.8773007041
449	0.9347441918	0.8771673204
450	0.9347677527	0.8770089538
451	0.9347923499	0.8768435908
452	0.9348224577	0.8766411385
453	0.9348610101	0.8763818343
454	0.9348929919	0.8761666658
455	0.9349199426	0.8759853047
456	0.9349565784	0.8757387087
457	0.9349781945	0.8755931784
458	0.9350060239	0.8754057812
459	0.9350545665	0.8750788091
460	0.9350873982	0.8748575928
461	0.9351219504	0.8746247235
462	0.9351684664	0.8743111249
463	0.9352144359	0.8740010999
464	0.9352550253	0.8737272682
465	0.9352881253	0.8735038986
466	0.9353206944	0.8732840562
467	0.9353623801	0.8730025963
468	0.9353874204	0.8728334813
469	0.9354050827	0.8727141752
470	0.9354373462	0.8724961989
471	0.9354828232	0.8721888585
472	0.9355046472	0.8720413297
473	0.9355378981	0.871816508
474	0.9355722417	0.8715842375
475	0.9356160175	0.8712880853
476	0.9356361105	0.8711521188
477	0.9356662186	0.8709483414
478	0.9356839428	0.8708283585
479	0.9357008552	0.8707138555
480	0.9357258213	0.8705447986
481	0.9357432771	0.8704265774
482	0.9357733706	0.8702227297
483	0.9357900685	0.8701096003
484	0.9358305648	0.8698351741
485	0.9358507232	0.8696985369
486	0.9358668043	0.8695895205
487	0.9358922972	0.869416673
488	0.9359368564	0.8691144689
489	0.9359521579	0.8690106682
490	0.9359952733	0.8687181208
491	0.9360103579	0.8686157453
492	0.9360496855	0.8683487819
493	0.9360782648	0.8681547278
494	0.9361028684	0.8679876347
495	0.936123206	0.8678494895
496	0.9361468736	0.8676886972
497	0.936188597	0.8674051645
498	0.9362154158	0.8672228681
499	0.9362391891	0.8670612406
500	0.9362739421	0.8668249116
501	0.936316687	0.8665341472
502	0.9363441022	0.8663476087
503	0.9363642606	0.8662104211
504	0.9363843191	0.8660738922
505	0.9364042675	0.8659380915
506	0.9364270363	0.8657830638
507	0.9364646196	0.8655271078
508	0.9364940685	0.8653264969
509	0.9365108669	0.8652120427
510	0.936560733	0.864872195
511	0.93660966	0.8645386185
512	0.9366338928	0.864373355
513	0.936671525	0.8641166477
514	0.9367044147	0.8638922287
515	0.936729198	0.8637230839
516	0.9367605742	0.8635088957
517	0.9368023389	0.8632237086
518	0.9368299313	0.8630352442
519	0.9368722333	0.8627462288
520	0.9368859305	0.8626526266
521	0.9369144578	0.8624576469
522	0.9369443449	0.8622533254
523	0.9369827619	0.8619906195
